ID,Province_State,Date,Confirmed,Deaths
382,North Carolina,11-29-2020,357958,5219
383,North Dakota,11-29-2020,77935,921
384,Ohio,11-29-2020,406703,6378
385,Oklahoma,11-29-2020,193824,1717
386,Oregon,11-29-2020,72506,896
387,Pennsylvania,11-29-2020,355945,10234
388,Rhode Island,11-29-2020,53954,1346
389,South Carolina,11-29-2020,214911,4346
390,South Dakota,11-29-2020,79099,942
391,Tennessee,11-29-2020,363466,4541
392,Texas,11-29-2020,1213577,21788
393,Utah,11-29-2020,192087,863
394,Vermont,11-29-2020,4033,67
395,Virginia,11-29-2020,233617,4054
396,Washington,11-29-2020,160634,2703
397,West Virginia,11-29-2020,45845,718
398,Wisconsin,11-29-2020,404999,3464
399,Wyoming,11-29-2020,31928,215
400,Alabama,11-30-2020,247229,3577
401,Alaska,11-30-2020,32065,121
402,Arizona,11-30-2020,325995,6634
403,Arkansas,11-30-2020,156247,2470
404,California,11-30-2020,1215455,19151
405,Colorado,11-30-2020,228772,3003
406,Connecticut,11-30-2020,112581,4961
407,Delaware,11-30-2020,35251,770
408,Florida,11-30-2020,992660,18500
409,Georgia,11-30-2020,469516,9442
410,Hawaii,11-30-2020,18138,244
411,Idaho,11-30-2020,100484,920
412,Illinois,11-30-2020,720114,12882
413,Indiana,11-30-2020,333312,5685
414,Iowa,11-30-2020,228690,2399
415,Kansas,11-30-2020,155500,1529
416,Kentucky,11-30-2020,176925,1896
417,Louisiana,11-30-2020,232245,6407
418,Maine,11-30-2020,11508,191
419,Maryland,11-30-2020,196447,4625
420,Massachusetts,11-30-2020,224964,10722
421,Michigan,11-30-2020,378152,9467
422,Minnesota,11-30-2020,312969,3637
423,Mississippi,11-30-2020,151785,3806
424,Missouri,11-30-2020,302409,3850
425,Montana,11-30-2020,61801,671
426,Nebraska,11-30-2020,126466,989
427,Nevada,11-30-2020,150527,2136
428,New Hampshire,11-30-2020,20516,526
429,New Jersey,11-30-2020,334114,16978
430,New Mexico,11-30-2020,95417,1540
431,New York,11-30-2020,641161,34561
432,North Carolina,11-30-2020,361778,5240
433,North Dakota,11-30-2020,78658,926
434,Ohio,11-30-2020,414432,6399
435,Oklahoma,11-30-2020,195545,1736
436,Oregon,11-30-2020,74119,905
437,Pennsylvania,11-30-2020,360944,10297
438,Rhode Island,11-30-2020,53954,1346
439,South Carolina,11-30-2020,216129,4353
440,South Dakota,11-30-2020,79900,943
441,Tennessee,11-30-2020,366518,4554
442,Texas,11-30-2020,1225118,21843
443,Utah,11-30-2020,193809,868
444,Vermont,11-30-2020,4100,67
445,Virginia,11-30-2020,235942,4058
446,Washington,11-30-2020,162700,2703
447,West Virginia,11-30-2020,46997,729
448,Wisconsin,11-30-2020,409054,3487
449,Wyoming,11-30-2020,32489,215
450,Alabama,12-01-2020,249524,3578
451,Alaska,12-01-2020,32576,121
452,Arizona,12-01-2020,326817,6639
453,Arkansas,12-01-2020,157359,2502
454,California,12-01-2020,1230264,19173
455,Colorado,12-01-2020,232905,3037
456,Connecticut,12-01-2020,117295,5020
457,Delaware,12-01-2020,35654,772
458,Florida,12-01-2020,999319,18597
459,Georgia,12-01-2020,471563,9452
460,Hawaii,12-01-2020,18223,244
461,Idaho,12-01-2020,101698,929
462,Illinois,12-01-2020,726304,12985
463,Indiana,12-01-2020,338977,5723
464,Iowa,12-01-2020,230631,2426
465,Kansas,12-01-2020,159915,1560
466,Kentucky,12-01-2020,179041,1908
467,Louisiana,12-01-2020,232414,6420
468,Maine,12-01-2020,11757,194
469,Maryland,12-01-2020,198370,4641
470,Massachusetts,12-01-2020,226132,10748
471,Michigan,12-01-2020,388942,9564
472,Minnesota,12-01-2020,318763,3652
473,Mississippi,12-01-2020,153270,3807
474,Missouri,12-01-2020,306206,3861
475,Montana,12-01-2020,62198,681
476,Nebraska,12-01-2020,128407,1018
477,Nevada,12-01-2020,152171,2144
478,New Hampshire,12-01-2020,21030,526
479,New Jersey,12-01-2020,337304,16993
480,New Mexico,12-01-2020,97095,1568
481,New York,12-01-2020,647980,34605
482,North Carolina,12-01-2020,364512,5261
483,North Dakota,12-01-2020,79252,933
484,Ohio,12-01-2020,421063,6429
485,Oklahoma,12-01-2020,197745,1743
486,Oregon,12-01-2020,75431,912
487,Pennsylvania,12-01-2020,366835,10335
488,Rhode Island,12-01-2020,56723,1373
489,South Carolina,12-01-2020,217487,4381
490,South Dakota,12-01-2020,80464,946
491,Tennessee,12-01-2020,374493,4602
492,Texas,12-01-2020,1238752,21896
493,Utah,12-01-2020,195706,871
494,Vermont,12-01-2020,4172,69
495,Virginia,12-01-2020,237835,4062
496,Washington,12-01-2020,165019,2774
497,West Virginia,12-01-2020,47842,735
498,Wisconsin,12-01-2020,411730,3494
499,Wyoming,12-01-2020,33305,215
500,Alabama,12-02-2020,252900,3638
501,Alaska,12-02-2020,33115,122
502,Arizona,12-02-2020,337139,6687
503,Arkansas,12-02-2020,159309,2512
504,California,12-02-2020,1246042,19304
505,Colorado,12-02-2020,237310,3109
506,Connecticut,12-02-2020,118754,5040
507,Delaware,12-02-2020,36343,777
508,Florida,12-02-2020,1008166,18679
509,Georgia,12-02-2020,476405,9515
510,Hawaii,12-02-2020,18266,244
511,Idaho,12-02-2020,103305,960
512,Illinois,12-02-2020,738846,13131
513,Indiana,12-02-2020,344373,5864
514,Iowa,12-02-2020,233062,2449
515,Kansas,12-02-2020,160233,1560
516,Kentucky,12-02-2020,183164,1943
517,Louisiana,12-02-2020,237740,6455
518,Maine,12-02-2020,11981,214
519,Maryland,12-02-2020,201135,4673
520,Massachusetts,12-02-2020,229205,10778
521,Michigan,12-02-2020,395453,9759
522,Minnesota,12-02-2020,322312,3674
523,Mississippi,12-02-2020,154411,3836
524,Missouri,12-02-2020,309169,4026
525,Montana,12-02-2020,63205,698
526,Nebraska,12-02-2020,130194,1080
527,Nevada,12-02-2020,154842,2164
528,New Hampshire,12-02-2020,21802,528
529,New Jersey,12-02-2020,341910,17083
530,New Mexico,12-02-2020,99419,1589
531,New York,12-02-2020,655265,34662
532,North Carolina,12-02-2020,367395,5284
533,North Dakota,12-02-2020,79655,960
534,Ohio,12-02-2020,430093,6548
535,Oklahoma,12-02-2020,199482,1758
536,Oregon,12-02-2020,76654,936
537,Pennsylvania,12-02-2020,372530,10504
538,Rhode Island,12-02-2020,57906,1380
539,South Carolina,12-02-2020,218912,4404
540,South Dakota,12-02-2020,80912,948
541,Tennessee,12-02-2020,380186,4638
542,Texas,12-02-2020,1250934,22114
543,Utah,12-02-2020,198216,890
544,Vermont,12-02-2020,4239,72
545,Virginia,12-02-2020,240063,4093
546,Washington,12-02-2020,167216,2805
547,West Virginia,12-02-2020,48818,758
548,Wisconsin,12-02-2020,416365,3611
549,Wyoming,12-02-2020,33805,239
550,Alabama,12-03-2020,256828,3711
551,Alaska,12-03-2020,33802,122
552,Arizona,12-03-2020,340979,6739
553,Arkansas,12-03-2020,161521,2522
554,California,12-03-2020,1265182,19410
555,Colorado,12-03-2020,241172,3193
556,Connecticut,12-03-2020,121426,5091
557,Delaware,12-03-2020,36698,779
558,Florida,12-03-2020,1018160,18776
559,Georgia,12-03-2020,482139,9567
560,Hawaii,12-03-2020,18342,244
561,Idaho,12-03-2020,104734,991
562,Illinois,12-03-2020,748603,13397
563,Indiana,12-03-2020,350970,5973
564,Iowa,12-03-2020,236159,2518
565,Kansas,12-03-2020,164855,1679
566,Kentucky,12-03-2020,186765,1943
567,Louisiana,12-03-2020,241335,6501
568,Maine,12-03-2020,12208,218
569,Maryland,12-03-2020,203355,4715
570,Massachusetts,12-03-2020,234232,10824
571,Michigan,12-03-2020,402886,9842
572,Minnesota,12-03-2020,327477,3751
573,Mississippi,12-03-2020,156868,3851
574,Missouri,12-03-2020,312046,4077
575,Montana,12-03-2020,64340,713
576,Nebraska,12-03-2020,132530,1128
577,Nevada,12-03-2020,156997,2202
578,New Hampshire,12-03-2020,22368,537
579,New Jersey,12-03-2020,346206,17145
580,New Mexico,12-03-2020,100963,1629
581,New York,12-03-2020,664238,34718
582,North Carolina,12-03-2020,371594,5366
583,North Dakota,12-03-2020,80135,972
584,Ohio,12-03-2020,437928,6671
585,Oklahoma,12-03-2020,202341,1812
586,Oregon,12-03-2020,78160,953
587,Pennsylvania,12-03-2020,380951,10676
588,Rhode Island,12-03-2020,59005,1391
589,South Carolina,12-03-2020,220835,4444
590,South Dakota,12-03-2020,82203,995
591,Tennessee,12-03-2020,384285,4688
592,Texas,12-03-2020,1268946,22335
593,Utah,12-03-2020,202220,906
594,Vermont,12-03-2020,4461,74
595,Virginia,12-03-2020,242480,4113
596,Washington,12-03-2020,170342,2850
597,West Virginia,12-03-2020,49905,778
598,Wisconsin,12-03-2020,420930,3703
599,Wyoming,12-03-2020,34491,239
600,Alabama,12-04-2020,260359,3776
601,Alaska,12-04-2020,34563,130
602,Arizona,12-04-2020,346421,6821
603,Arkansas,12-04-2020,164310,2555
604,California,12-04-2020,1286550,19553
605,Colorado,12-04-2020,247209,3320
606,Connecticut,12-04-2020,126177,5111
607,Delaware,12-04-2020,37456,779
608,Florida,12-04-2020,1029030,18874
609,Georgia,12-04-2020,487978,9648
610,Hawaii,12-04-2020,18484,246
611,Idaho,12-04-2020,106455,1014
612,Illinois,12-04-2020,759562,13624
613,Indiana,12-04-2020,359430,6033
614,Iowa,12-04-2020,238724,2603
615,Kansas,12-04-2020,165156,1679
616,Kentucky,12-04-2020,190600,2014
617,Louisiana,12-04-2020,244078,6524
618,Maine,12-04-2020,12554,220
619,Maryland,12-04-2020,205399,4764
620,Massachusetts,12-04-2020,240907,10874
621,Michigan,12-04-2020,410843,10035
622,Minnesota,12-04-2020,333626,3843
623,Mississippi,12-04-2020,159036,3879
624,Missouri,12-04-2020,316235,4141
625,Montana,12-04-2020,65122,722
626,Nebraska,12-04-2020,134710,1159
627,Nevada,12-04-2020,159532,2250
628,New Hampshire,12-04-2020,22993,544
629,New Jersey,12-04-2020,350999,17209
630,New Mexico,12-04-2020,102862,1673
631,New York,12-04-2020,674093,34775
632,North Carolina,12-04-2020,377231,5410
633,North Dakota,12-04-2020,81105,983
634,Ohio,12-04-2020,446849,6753
635,Oklahoma,12-04-2020,204048,1836
636,Oregon,12-04-2020,79293,973
637,Pennsylvania,12-04-2020,392434,10871
638,Rhode Island,12-04-2020,60722,1400
639,South Carolina,12-04-2020,223063,4466
640,South Dakota,12-04-2020,83348,1033
641,Tennessee,12-04-2020,388252,4781
642,Texas,12-04-2020,1286369,22573
643,Utah,12-04-2020,206165,917
644,Vermont,12-04-2020,4642,75
645,Virginia,12-04-2020,244503,4147
646,Washington,12-04-2020,172437,2900
647,West Virginia,12-04-2020,51025,789
648,Wisconsin,12-04-2020,426534,3773
649,Wyoming,12-04-2020,35046,266
650,Alabama,12-05-2020,264199,3831
651,Alaska,12-05-2020,35325,142
652,Arizona,12-05-2020,352101,6885
653,Arkansas,12-05-2020,167137,2586
654,California,12-05-2020,1310307,19734
655,Colorado,12-05-2020,252222,3338
656,Connecticut,12-05-2020,127715,5146
657,Delaware,12-05-2020,38398,782
658,Florida,12-05-2020,1039207,18994
659,Georgia,12-05-2020,494354,9725
660,Hawaii,12-05-2020,18605,256
661,Idaho,12-05-2020,108366,1032
662,Illinois,12-05-2020,770088,13782
663,Indiana,12-05-2020,367329,6122
664,Iowa,12-05-2020,241531,2665
665,Kansas,12-05-2020,171146,1786
666,Kentucky,12-05-2020,194192,2039
667,Louisiana,12-05-2020,247177,6548
668,Maine,12-05-2020,12844,224
669,Maryland,12-05-2020,209191,4790
670,Massachusetts,12-05-2020,246398,10910
671,Michigan,12-05-2020,420268,10117
672,Minnesota,12-05-2020,338973,3904
673,Mississippi,12-05-2020,161516,3916
674,Missouri,12-05-2020,320472,4216
675,Montana,12-05-2020,66436,727
676,Nebraska,12-05-2020,136325,1186
677,Nevada,12-05-2020,162434,2272
678,New Hampshire,12-05-2020,23775,552
679,New Jersey,12-05-2020,356662,17255
680,New Mexico,12-05-2020,104935,1706
681,New York,12-05-2020,685364,34830
682,North Carolina,12-05-2020,382534,5467
683,North Dakota,12-05-2020,81949,995
684,Ohio,12-05-2020,456963,6882
685,Oklahoma,12-05-2020,208875,1860
686,Oregon,12-05-2020,81437,1003
687,Pennsylvania,12-05-2020,404521,11052
688,Rhode Island,12-05-2020,62137,1413
